| name                   | title                  | level | facing   | categories      | description                                                                                         | detail                                                                                                                                                                                 | remediation                                                                                | metadata                                                                                                                                            | cache_key                                                                                            |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_product_categories_tenant\` on table \`public.product_categories\` has not been used                                                                                       | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"product_categories","type":"table","schema":"public"}                                                                                      | unused_index_public_product_categories_idx_product_categories_tenant                                 |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_recipes_tenant\` on table \`public.recipes\` has not been used                                                                                                             | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"recipes","type":"table","schema":"public"}                                                                                                 | unused_index_public_recipes_idx_recipes_tenant                                                       |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_base_templates_tenant\` on table \`public.base_templates\` has not been used                                                                                               | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"base_templates","type":"table","schema":"public"}                                                                                          | unused_index_public_base_templates_idx_base_templates_tenant                                         |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_overhead_settings_tenant\` on table \`public.overhead_settings\` has not been used                                                                                         | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"overhead_settings","type":"table","schema":"public"}                                                                                       | unused_index_public_overhead_settings_idx_overhead_settings_tenant                                   |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_drink_sizes_tenant\` on table \`public.drink_sizes\` has not been used                                                                                                     | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"drink_sizes","type":"table","schema":"public"}                                                                                             | unused_index_public_drink_sizes_idx_drink_sizes_tenant                                               |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_food_items_tenant\` on table \`public.food_items\` has not been used                                                                                                       | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"food_items","type":"table","schema":"public"}                                                                                              | unused_index_public_food_items_idx_food_items_tenant                                                 |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_products_tenant\` on table \`public.products\` has not been used                                                                                                           | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"products","type":"table","schema":"public"}                                                                                                | unused_index_public_products_idx_products_tenant                                                     |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_ingredients_category\` on table \`public.ingredients\` has not been used                                                                                                   | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"ingredients","type":"table","schema":"public"}                                                                                             | unused_index_public_ingredients_idx_ingredients_category                                             |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_ingredients_active\` on table \`public.ingredients\` has not been used                                                                                                     | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"ingredients","type":"table","schema":"public"}                                                                                             | unused_index_public_ingredients_idx_ingredients_active                                               |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_recipes_active\` on table \`public.recipes\` has not been used                                                                                                             | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"recipes","type":"table","schema":"public"}                                                                                                 | unused_index_public_recipes_idx_recipes_active                                                       |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_recipe_ingredients_size\` on table \`public.recipe_ingredients\` has not been used                                                                                         | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"recipe_ingredients","type":"table","schema":"public"}                                                                                      | unused_index_public_recipe_ingredients_idx_recipe_ingredients_size                                   |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_cash_activity_tenant\` on table \`public.cash_activity\` has not been used                                                                                                 | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"cash_activity","type":"table","schema":"public"}                                                                                           | unused_index_public_cash_activity_idx_cash_activity_tenant                                           |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_cash_activity_date\` on table \`public.cash_activity\` has not been used                                                                                                   | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"cash_activity","type":"table","schema":"public"}                                                                                           | unused_index_public_cash_activity_idx_cash_activity_date                                             |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_cash_activity_archived\` on table \`public.cash_activity\` has not been used                                                                                               | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"cash_activity","type":"table","schema":"public"}                                                                                           | unused_index_public_cash_activity_idx_cash_activity_archived                                         |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_tip_weekly_data_tenant\` on table \`public.tip_weekly_data\` has not been used                                                                                             | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"tip_weekly_data","type":"table","schema":"public"}                                                                                         | unused_index_public_tip_weekly_data_idx_tip_weekly_data_tenant                                       |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_tip_weekly_data_week\` on table \`public.tip_weekly_data\` has not been used                                                                                               | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"tip_weekly_data","type":"table","schema":"public"}                                                                                         | unused_index_public_tip_weekly_data_idx_tip_weekly_data_week                                         |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_tip_employee_hours_tenant\` on table \`public.tip_employee_hours\` has not been used                                                                                       | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"tip_employee_hours","type":"table","schema":"public"}                                                                                      | unused_index_public_tip_employee_hours_idx_tip_employee_hours_tenant                                 |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_tip_employee_hours_employee\` on table \`public.tip_employee_hours\` has not been used                                                                                     | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"tip_employee_hours","type":"table","schema":"public"}                                                                                      | unused_index_public_tip_employee_hours_idx_tip_employee_hours_employee                               |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_user_profiles_tenant\` on table \`public.user_profiles\` has not been used                                                                                                 | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"user_profiles","type":"table","schema":"public"}                                                                                           | unused_index_public_user_profiles_idx_user_profiles_tenant                                           |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_user_profiles_email\` on table \`public.user_profiles\` has not been used                                                                                                  | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"user_profiles","type":"table","schema":"public"}                                                                                           | unused_index_public_user_profiles_idx_user_profiles_email                                            |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_tenants_slug\` on table \`public.tenants\` has not been used                                                                                                               | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"tenants","type":"table","schema":"public"}                                                                                                 | unused_index_public_tenants_idx_tenants_slug                                                         |
